cuba;Latin America & Caribbean;Caribbean;Cuba
;Latin America & Caribbean;Caribbean;Cura�ao
Cyprus;Europe & Russia;EU Member States;Cyprus
Czech Republic;Europe & Russia;EU Member States;Czech Republic
Congo (Democratic Rep);Africa;Western Africa;Democratic Republic of Congo
Congo (Democratic Republic of);Africa;Western Africa;Democratic Republic of Congo
Congo (Republic of);Africa;Western Africa;Democratic Republic of Congo
CONGO, DEM. REP.;Africa;Western Africa;Democratic Republic of Congo
Congo, Democratic Republic of the;Africa;Western Africa;Democratic Republic of Congo
Democratic Republic of Congo;Africa;Western Africa;Democratic Republic of Congo
Democratic Republic of Congo DRC;Africa;Western Africa;Democratic Republic of Congo
DRC;Africa;Western Africa;Democratic Republic of Congo
DRCongo;Africa;Western Africa;Democratic Republic of Congo
DR Congo;Africa;Western Africa;Democratic Republic of Congo
Democratic Republic of Congo ;Africa;Western Africa;Democratic Republic of Congo
Denmark;Europe & Russia;EU Member States;Denmark
Djibouti;Africa;Eastern Africa;Djibouti
Commonwealth of Dominica;Latin America & Caribbean;Caribbean;Dominica
Dominica;Latin America & Caribbean;Caribbean;Dominica
Dominican Republic;Latin America & Caribbean;Caribbean;Dominican Republic
Dominican republic;Latin America & Caribbean;Caribbean;Dominican Republic
Ecuador ;Latin America & Caribbean;Southern America;Ecuador
Ecuador ;Latin America & Caribbean;Southern America;Ecuador
Egypt;Africa;Northern Africa;Egypt
EGYPT;Africa;Northern Africa;Egypt
Geo - Egypt;Africa;Northern Africa;Egypt
El Salvador;Latin America & Caribbean;Central America;El Salvador
Equatorial Guinea;Africa;Central Africa;Equatorial Guinea
Erithrea;Africa;Eastern Africa;Eritrea
Eritrea;Africa;Eastern Africa;Eritrea
Estonia;Europe & Russia;EU Member States;Estonia
Ethiopia;Africa;Eastern Africa;Ethiopia
ethiopia;Africa;Eastern Africa;Ethiopia
ETHIOPIA;Africa;Eastern Africa;Ethiopia
Ethiopia.;Africa;Eastern Africa;Ethiopia
;Latin America & Caribbean;Southern America;Falkland Islands (Malvinas)
fiji;Oceania & Pacific;Pacific;Fiji
Fiji;Oceania & Pacific;Pacific;Fiji
Finland;Europe & Russia;EU Member States;Finland
Former Yugoslav Republic of Macedonia;Europe & Russia;EU candidate & potential candidate countries;Former Yugoslav Republic of Macedonia
macedonia;Europe & Russia;EU candidate & potential candidate countries;Former Yugoslav Republic of Macedonia
France;Europe & Russia;EU Member States;France
FRANCE;Europe & Russia;EU Member States;France
;Oceania & Pacific;Pacific;French Polynesia
;Oceania & Pacific;Pacific;French Polynesia
Gabon;Africa;Central Africa;Gabon
Gambia;Africa;Western Africa;Gambia
The Gambia;Africa;Western Africa;Gambia
Georgia;Asia;Western Asia;Georgia
GEORGIA;Asia;Western Asia;Georgia
Germany;Europe & Russia;EU Member States;Germany
germany;Europe & Russia;EU Member States;Germany
Ghana;Africa;Western Africa;Ghana
GHANA;Africa;Western Africa;Ghana
ghana;Africa;Western Africa;Ghana
Ghana ;Africa;Western Africa;Ghana
Greece;Europe & Russia;EU Member States;Greece
Grenada;Latin America & Caribbean;Caribbean;Grenada
Guatemala;Latin America & Caribbean;Central America;Guatemala
Guinea;Africa;Western Africa;Guinea
GUINEA;Africa;Western Africa;Guinea
Guinea Bissau;Africa;Western Africa;Guinea-Bissau
Guinea-Bissao;Africa;Western Africa;Guinea-Bissau
Guinea-Bissau;Africa;Western Africa;Guinea-Bissau
Guyana;Latin America & Caribbean;Southern America;Guyana
Haiti;Latin America & Caribbean;Caribbean;Haiti
Ha�ti;Latin America & Caribbean;Caribbean;Haiti
Honduras;Latin America & Caribbean;Central America;Honduras
Hungary;Europe & Russia;EU Member States;Hungary
Iceland;Europe & Russia;EU candidate & potential candidate countries;Iceland
India;Asia;Southern Asia;India
Indonesia;Asia;South-Eastern Asia;Indonesia
Iran;Asia;Southern Asia;Iran (Islamic Republic of)
Iraq;Asia;Western Asia;Iraq
Ireland;Europe & Russia;EU Member States;Ireland
Israel;Asia;Western Asia;Israel
Italy;Europe & Russia;EU Member States;Italy
Jamaica;Latin America & Caribbean;Caribbean;Jamaica
Japan;Asia;Eastern Asia;Japan
Geo - Jordan;Asia;Western Asia;Jordan
Jordan;Asia;Western Asia;Jordan
Kazakhstan;Asia;Central Asia;Kazakhstan
Kenya;Africa;Eastern Africa;Kenya
KENYA;Africa;Eastern Africa;Kenya
kenya;Africa;Eastern Africa;Kenya
Kiribati;Oceania & Pacific;Pacific;Kiribati
kiribati;Oceania & Pacific;Pacific;Kiribati
Korea, Democratic People's Republic of,;Asia;Eastern Asia;Korea (North)
North Korea;Asia;Eastern Asia;Korea (North)
;Asia;Eastern Asia;Korea (South)
Kosovo;Europe & Russia;EU candidate & potential candidate countries;Kosovo under UN Security Council Resolution 1244
kosovo;Europe & Russia;EU candidate & potential candidate countries;Kosovo under UN Security Council Resolution 1244
Kosovo (under UNSCR 1244/99);Europe & Russia;EU candidate & potential candidate countries;Kosovo under UN Security Council Resolution 1244
;Asia;Western Asia;Kuwait
KYRGYZ REP.;Asia;Central Asia;Kyrgyzstan
Kyrgyz Republic;Asia;Central Asia;Kyrgyzstan
Kyrgyzstan;Asia;Central Asia;Kyrgyzstan
Kyrgyztan;Asia;Central Asia;Kyrgyzstan
Laos;Asia;South-Eastern Asia;Laos
Latvia;Europe & Russia;EU Member States;Latvia
Geo - Lebanon;Asia;Western Asia;Lebanon
Lebanon;Asia;Western Asia;Lebanon
Lesotho;Africa;Central Africa;Lesotho
lesotho;Africa;Central Africa;Lesotho
Liberia;Africa;Western Africa;Liberia
Liberia ;Africa;Western Africa;Liberia
Libya;Africa;Northern Africa;Libya
Lybia;Africa;Northern Africa;Libya
;Europe & Russia;Other European countries & Russia;Liechtenstein
Lithuania;Europe & Russia;EU Member States;Lithuania
Luxembourg;Europe & Russia;EU Member States;Luxembourg
Madagascar;Africa;Eastern Africa;Madagascar
Malawi;Africa;Eastern Africa;Malawi
Malaysia;Asia;South-Eastern Asia;Malaysia
Maldives;Asia;Southern Asia;Maldives
Mali;Africa;Western Africa;Mali
MALI;Africa;Western Africa;Mali
mali;Africa;Western Africa;Mali
Malta;Europe & Russia;EU Member States;Malta
Republic of the Marshall Islands;Oceania & Pacific;Pacific;Marshall Islands
Marshall Islands;Oceania & Pacific;Pacific;Marshall Islands
Mauritania;Africa;Western Africa;Mauritania
MAURITANIA;Africa;Western Africa;Mauritania
Mauritius;Africa;Eastern Africa;Mauritius
Mexico;Latin America & Caribbean;Central America;Mexico
Federal States of Micronesia;Oceania & Pacific;Pacific;Micronesia
Micronesia;Oceania & Pacific;Pacific;Micronesia
Moldova;Europe & Russia;Other European countries & Russia;Moldova
MOLDOVA;Europe & Russia;Other European countries & Russia;Moldova
;Europe & Russia;Other European countries & Russia;Monaco
Mongolia;Asia;Eastern Asia;Mongolia
Montenegro;Europe & Russia;EU candidate & potential candidate countries;Montenegro
Montserrat;Latin America & Caribbean;Caribbean;Montserrat
Morocco;Africa;Northern Africa;Morocco
morocco;Africa;Northern Africa;Morocco
Morrocco;Africa;Northern Africa;Morocco
Mozambique;Africa;Eastern Africa;Mozambique
mozambique;Africa;Eastern Africa;Mozambique
Myanmar;Asia;South-Eastern Asia;Myanmar
myanmar;Asia;South-Eastern Asia;Myanmar
Myanmar, Burma;Asia;South-Eastern Asia;Myanmar
Myanmar/Burma;Asia;South-Eastern Asia;Myanmar
Burma;Asia;South-Eastern Asia;Myanmar
namibia;Africa;Southern Africa;Namibia
Namibia;Africa;Southern Africa;Namibia
Nauru;Oceania & Pacific;Pacific;Nauru
Nepal;Asia;Southern Asia;Nepal
Netherlands;Europe & Russia;EU Member States;Netherlands
The Netherlands;Europe & Russia;EU Member States;Netherlands
;Oceania & Pacific;Pacific;New Caledonia
New Zealand;Oceania & Pacific;Oceania;New Zealand
Nicaragua;Latin America & Caribbean;Central America;Nicaragua
Niger;Africa;Western Africa;Niger
niger;Africa;Western Africa;Niger
Nigera;Africa;Western Africa;Nigeria
Nigeria;Africa;Western Africa;Nigeria
NIGERIA;Africa;Western Africa;Nigeria
Niue;Oceania & Pacific;Pacific;Niue
Norway;Europe & Russia;Other European countries & Russia;Norway
;Asia;Western Asia;Oman
Pakistan;Asia;Southern Asia;Pakistan
pakistan;Asia;Southern Asia;Pakistan
Palau;Oceania & Pacific;Pacific;Palau
Geo - Palestine;Asia;Western Asia;Palestine
Palestina;Asia;Western Asia;Palestine
Palestine;Asia;Western Asia;Palestine
palestine;Asia;Western Asia;Palestine
Occupied Palestinian Territory;Asia;Western Asia;Palestine
Panama;Latin America & Caribbean;Central America;Panama
Papua New Guinea;Oceania & Pacific;Pacific;Papua New Guinea
Papua New Guinea (PNG);Oceania & Pacific;Pacific;Papua New Guinea
Paraguay;Latin America & Caribbean;Southern America;Paraguay
Peru;Latin America & Caribbean;Southern America;Peru
Philippines;Asia;South-Eastern Asia;Philippines
The Philippines;Asia;South-Eastern Asia;Philippines
;Oceania & Pacific;Pacific;Pitcairn
Poland;Europe & Russia;EU Member States;Poland
Portugal;Europe & Russia;EU Member States;Portugal
Geo - Qatar;Asia;Western Asia;Qatar
Romania;Europe & Russia;EU Member States;Romania
Russia;Europe & Russia;Other European countries & Russia;Russian Federation
russia;Europe & Russia;Other European countries & Russia;Russian Federation
Geo - Russia;Europe & Russia;Other European countries & Russia;Russian Federation
Rwanda;Africa;Eastern Africa;Rwanda
RWANDA;Africa;Eastern Africa;Rwanda
;Africa;Western Africa;Saint Helena
St Kitts & Nevis;Latin America & Caribbean;Caribbean;Saint Kitts and Nevis
St Kitts and Nevis;Latin America & Caribbean;Caribbean;Saint Kitts and Nevis
Saint Kitts & Nevis;Latin America & Caribbean;Caribbean;Saint Kitts and Nevis
Saint Lucia;Latin America & Caribbean;Caribbean;Saint Lucia
St Lucia;Latin America & Caribbean;Caribbean;Saint Lucia
Saint Vincent & Grenadines;Latin America & Caribbean;Caribbean;Saint Vincent and the Grenadines
St Vincent and the Grenadines;Latin America & Caribbean;Caribbean;Saint Vincent and the Grenadines
Saint-Vincent and the Grenadines;Latin America & Caribbean;Caribbean;Saint Vincent and the Grenadines
;Latin America & Caribbean;Caribbean;Saint-Barth�lemy
Samoa;Oceania & Pacific;Pacific;Samoa
;Europe & Russia;Other European countries & Russia;San Marino
S�o Tome & Principe;Africa;Central Africa;Sao Tome and Principe
S�o Tom� & Pr�ncipe;Africa;Central Africa;Sao Tome and Principe
Sao Tome and Principe;Africa;Central Africa;Sao Tome and Principe
Sao Tome e Principe;Africa;Central Africa;Sao Tome and Principe
Geo - Saudi Arabia;Asia;Western Asia;Saudi Arabia
saudi arabia;Asia;Western Asia;Saudi Arabia
Senegal;Africa;Western Africa;Senegal
SENEGAL;Africa;Western Africa;Senegal
Serbia;Europe & Russia;EU candidate & potential candidate countries;Serbia
serbia;Europe & Russia;EU candidate & potential candidate countries;Serbia
Seychelles;Africa;Eastern Africa;Seychelles
Sierra Leone;Africa;Western Africa;Sierra Leone
;Asia;South-Eastern Asia;Singapore
;Latin America & Caribbean;Caribbean;Sint Maarten (Dutch part)
Slovakia;Europe & Russia;EU Member States;Slovakia
Slovenia;Europe & Russia;EU Member States;Slovenia
Solomon Islands;Oceania & Pacific;Pacific;Solomon Islands
Somalia;Africa;Eastern Africa;Somalia
somalia;Africa;Eastern Africa;Somalia
South Africa;Africa;Central Africa;South Africa
South africa;Africa;Central Africa;South Africa
SOUTH AFRICA;Africa;Central Africa;South Africa
South AFrica;Africa;Central Africa;South Africa
south sudan;Africa;Eastern Africa;South Sudan
South Sudan ;Africa;Eastern Africa;South Sudan
South Sudan Republic;Africa;Eastern Africa;South Sudan
South Sudan ;Africa;Eastern Africa;South Sudan
Spain;Europe & Russia;EU Member States;Spain
spain;Europe & Russia;EU Member States;Spain
Espa�a;Europe & Russia;EU Member States;Spain
Sri Lanka;Asia;Southern Asia;Sri Lanka
sri lanka;Asia;Southern Asia;Sri Lanka
SUDAN;Africa;Eastern Africa;Sudan
Sudan;Africa;Eastern Africa;Sudan
sudan;Africa;Eastern Africa;Sudan
Suriname;Latin America & Caribbean;Southern America;Suriname
Swaziland;Africa;Central Africa;Swaziland
Sweden;Europe & Russia;EU Member States;Sweden
Switzerland;Europe & Russia;Other European countries & Russia;Switzerland
Syria;Asia;Western Asia;Syria
Syrian Arab Republic;Asia;Western Asia;Syria
Geo - Syria;Asia;Western Asia;Syria
Tajikistan;Asia;Central Asia;Tajikistan
TAJIKISTAN;Asia;Central Asia;Tajikistan
Tanzania;Africa;Eastern Africa;Tanzania
TANZANIA;Africa;Eastern Africa;Tanzania
tanzania;Africa;Eastern Africa;Tanzania
Thailand;Asia;South-Eastern Asia;Thailand
thailand;Asia;South-Eastern Asia;Thailand
Timor Leste;Asia;South-Eastern Asia;Timor-Leste
Timor-Leste;Asia;South-Eastern Asia;Timor-Leste
Timor-Leste ;Asia;South-Eastern Asia;Timor-Leste
Togo;Africa;Western Africa;Togo
Tonga;Oceania & Pacific;Pacific;Tonga
Trinidad & Tobago;Latin America & Caribbean;Caribbean;Trinidad and Tobago
Tunisia;Africa;Northern Africa;Tunisia
turkey;Europe & Russia;EU candidate & potential candidate countries;Turkey
Turkey;Europe & Russia;EU candidate & potential candidate countries;Turkey
Turkmenistan;Asia;Central Asia;Turkmenistan
;Latin America & Caribbean;Caribbean;Turks and Caicos Islands
Tuvalu;Oceania & Pacific;Pacific;Tuvalu
UGANDA;Africa;Eastern Africa;Uganda
Uganda;Africa;Eastern Africa;Uganda
Ukraine;Europe & Russia;Other European countries & Russia;Ukraine
UKRAINE;Europe & Russia;Other European countries & Russia;Ukraine
Geo - United Arab Emirates;Asia;Western Asia;United Arab Emirates
United Kingdom;Europe & Russia;EU Member States;United Kingdom
UK;Europe & Russia;EU Member States;United Kingdom
the UK;Europe & Russia;EU Member States;United Kingdom
Uruguay;Latin America & Caribbean;Southern America;Uruguay
Uzbekistan;Asia;Central Asia;Uzbekistan
Vanuatu;Oceania & Pacific;Pacific;Vanuatu
vanuatu;Oceania & Pacific;Pacific;Vanuatu
Venezuela;Latin America & Caribbean;Southern America;Venezuela
Vietnam;Asia;South-Eastern Asia;Viet Nam
vietnam;Asia;South-Eastern Asia;Viet Nam
Vietnam ;Asia;South-Eastern Asia;Viet Nam
;Oceania & Pacific;Pacific;Wallis and Futuna Islands
Yemen;Asia;Western Asia;Yemen
ZAMBIA;Africa;Eastern Africa;Zambia
Zambia;Africa;Eastern Africa;Zambia
Zimbabwe;Africa;Eastern Africa;Zimbabwe
1. Africa;Africa;;
Africa;Africa;;
AFRICA;Africa;;
Geo - AFRICA;Africa;;
africa;Africa;;
Africa.;Africa;;
AFRICA, REGIONAL;Africa;;
Geo - AFRICA;Africa;;
Region / AFRICA;Africa;;
North Africa;Africa;Northern Africa;
NORTH AFRICA;Africa;Northern Africa;
Northern Africa;Africa;Northern Africa;
North Africa ;Africa;Northern Africa;
1. Sub-Saharan Africa;Africa;Sub-Saharan Africa;
1.Sub-Saharan Africa;Africa;Sub-Saharan Africa;
Geo - SUB-SAHARAN AFRICA;Africa;Sub-Saharan Africa;
Sub-Sahara Africa;Africa;Sub-Saharan Africa;
Sub-Saharan Africa;Africa;Sub-Saharan Africa;
SUB-SAHARAN AFRICA;Africa;Sub-Saharan Africa;
SUB SAHARAN AFRICA;Africa;Sub-Saharan Africa;
Sub saharan africa;Africa;Sub-Saharan Africa;
Zone - Sub-saharan Africa;Africa;Sub-Saharan Africa;
West - Africa;Africa;Western Africa;
West Africa;Africa;Western Africa;
west africa;Africa;Western Africa;
Western Africa;Africa;Western Africa;
Africa - West;Africa;Western Africa;
WEST AFRICA, REGIONAL;Africa;Western Africa;
Africa - Central;Africa;Central Africa;
Central Africa;Africa;Central Africa;
central africa;Africa;Central Africa;
CENTRAL AFRICA, REGIONAL;Africa;Central Africa;
Southern - Africa;Africa;Southern Africa;
Southern Africa;Africa;Southern Africa;
SOUTHERN AFRICA;Africa;Southern Africa;
SOUTHERN AFRICA, REGIONAL;Africa;Southern Africa;
Africa - Southern;Africa;Southern Africa;
Southern Africa ;Africa;Southern Africa;
Africa - East;Africa;Eastern Africa;
East - Africa ;Africa;Eastern Africa;
east africa;Africa;Eastern Africa;
East Africa;Africa;Eastern Africa;
EAST AFRICA, REGIONAL;Africa;Eastern Africa;
Eastern Africa;Africa;Eastern Africa;
3.Latin America & Caribbean;Latin America & Caribbean;;
3. Latin America & Caribbean;Latin America & Caribbean;;
Am�rica Latina y Caribe;Latin America & Caribbean;;
Am�rica LAtina y el Caribe;Latin America & Caribbean;;
Latin America & Caribbean;Latin America & Caribbean;;
Latin America and Caribbe;Latin America & Caribbean;;
Latin America and Caribbean;Latin America & Caribbean;;
Latin America and the Caribbean;Latin America & Caribbean;;
Zone - Latin America;Latin America & Caribbean;;
Geo - LATIN AMERICA;Latin America & Caribbean;;
Geo - Latin America;Latin America & Caribbean;;
Latin America;Latin America & Caribbean;;
LATIN AMERICA;Latin America & Caribbean;;
Latin America area;Latin America & Caribbean;;
Latin-America;Latin America & Caribbean;;
Region / LATIN AMERICA;Latin America & Caribbean;;
Latin America ;Latin America & Caribbean;;
Latin & Central America;Latin America & Caribbean;;
Latin America & Caribbean ;Latin America & Caribbean;;
Latin America and Caribean;Latin America & Caribbean;;
SOUTH AMERICA;Latin America & Caribbean;Southern America;
South America;Latin America & Caribbean;Southern America;
SOUTH AMERICA, REGIONAL;Latin America & Caribbean;Southern America;
America - Central;Latin America & Caribbean;Central America;
Central America;Latin America & Caribbean;Central America;
Caribbean;Latin America & Caribbean;Caribbean;
CARIBBEAN;Latin America & Caribbean;Caribbean;
CARIBBEAN COUNTRIES;Latin America & Caribbean;Caribbean;
Caribbean.;Latin America & Caribbean;Caribbean;
Region / CARIBBEAN;Latin America & Caribbean;Caribbean;
Carribean countries;Latin America & Caribbean;Caribbean;
Zone - Carribean countries;Latin America & Caribbean;Caribbean;
Caribbean Region - 5Cs;Latin America & Caribbean;Caribbean;
Asia;Asia;;
ASIA;Asia;;
asia;Asia;;
ASIA, REGIONAL;Asia;;
Geo - ASIA;Asia;;
;Asia;Western Asia;
Central Asia;Asia;Central Asia;
central asia;Asia;Central Asia;
Asia and Central Asia;Asia;Central Asia;
South Asia;Asia;Southern Asia;
South-Asian area;Asia;Southern Asia;
INDIA;;;
Eastern Asia;Asia;Eastern Asia;
South East Asia;Asia;South-Eastern Asia;
South-East Asia;Asia;South-Eastern Asia;
2.European Neighbourhood & Russia;Europe & Russia;;
2. European Neighborhood & Russia;Europe & Russia;;
2.European Neighbourhood East & South;Europe & Russia;;
European Neighbourhood & Russia;Europe & Russia;;
European Neighbourhood and Russia;Europe & Russia;;
Eastern Europe & Russia;Europe & Russia;;
Neighbourhood and Russia;Europe & Russia;;
European Neibourhood & Russia;Europe & Russia;;
EU Member States;Europe & Russia;EU Member States;
EU memberstates;Europe & Russia;EU Member States;
7.EU Member States;Europe & Russia;EU Member States;
member states;Europe & Russia;EU Member States;
Member States;Europe & Russia;EU Member States;
28 Member States;Europe & Russia;EU Member States;
members states;Europe & Russia;EU Member States;
EU;Europe & Russia;EU Member States;
EU ;Europe & Russia;EU Member States;
5.EU;Europe & Russia;EU Member States;
Europe - EU;Europe & Russia;EU Member States;
European Union;Europe & Russia;EU Member States;
5.EU candidate and potential candidate countries;Europe & Russia;EU candidate & potential candidate countries;
EU candidate & potential candidate countries;Europe & Russia;EU candidate & potential candidate countries;
EU candidate & potential candidate countries;Europe & Russia;EU candidate & potential candidate countries;
EU candidate and potential candidate countries;Europe & Russia;EU candidate & potential candidate countries;
5.EU Candidate & Potential Candidate Countries;Europe & Russia;EU candidate & potential candidate countries;
;Europe & Russia;Other European countries & Russia;
;Europe & Russia;Other European countries & Russia;
;Oceania & Pacific;;
Oceania;Oceania & Pacific;Oceania;
OCEANIA, REGIONAL;Oceania & Pacific;Oceania;
Pacific;Oceania & Pacific;Pacific;
PACIFIC;Oceania & Pacific;Pacific;
pacific;Oceania & Pacific;Pacific;
Zone - Pacific;Oceania & Pacific;Pacific;
Pacific ;Oceania & Pacific;Pacific;
North America;Northern America;;
;Northern America;Bermuda;
Canada;Northern America;Canada;
Greenland;Northern America;Greenland;
;Northern America;Saint Pierre and Miquelon;
USA;Northern America;United States of America;
usa;Northern America;United States of America;
United States;Northern America;United States of America;
united states;Northern America;United States of America;
Africa, Caribbean and Pacific (ACP);Other Regions & Classifications;Africa, Caribbean & Pacific;
ACP - Africa, Caribbean and Pacific;Other Regions & Classifications;Africa, Caribbean & Pacific;
ACP Countries;Other Regions & Classifications;Africa, Caribbean & Pacific;
ACP countries;Other Regions & Classifications;Africa, Caribbean & Pacific;
acp countries;Other Regions & Classifications;Africa, Caribbean & Pacific;
ACP Region;Other Regions & Classifications;Africa, Caribbean & Pacific;
ACP;Other Regions & Classifications;Africa, Caribbean & Pacific;
acp;Other Regions & Classifications;Africa, Caribbean & Pacific;
ACP (Africa, Caribbean, Pacific);Other Regions & Classifications;Africa, Caribbean & Pacific;
All ACP;Other Regions & Classifications;Africa, Caribbean & Pacific;
Geo - ACP - Africa, Caribbean and Pacific;Other Regions & Classifications;Africa, Caribbean & Pacific;
European Neighbourhood;Other Regions & Classifications;European Neighbourhood;
European neighbourhood;Other Regions & Classifications;European Neighbourhood;
Neighborhood;Other Regions & Classifications;European Neighbourhood;
Neighbourhood;Other Regions & Classifications;European Neighbourhood;
NEIGHBOURHOOD;Other Regions & Classifications;European Neighbourhood;
neighbourhood;Other Regions & Classifications;European Neighbourhood;
Neighbourhood countries;Other Regions & Classifications;European Neighbourhood;
EUROPEAN NEIGHBOURHOOD COUNTRIES;Other Regions & Classifications;European Neighbourhood;
Eastern Neighbourhood;Other Regions & Classifications;European Neighbourhood;
EU NEIGHBORHOOD;Other Regions & Classifications;European Neighbourhood;
Neighbourhood East;Other Regions & Classifications;European Neighbourhood East;
Geo - Neighbourhood East ;Other Regions & Classifications;European Neighbourhood East;
Eastern Neighborhood;Other Regions & Classifications;European Neighbourhood East;
Eastern Neighbourhood;Other Regions & Classifications;European Neighbourhood East;
Neighbourhood South;Other Regions & Classifications;European Neighbourhood South;
Geo - NEIGHBOURHOOD SOUTH;Other Regions & Classifications;European Neighbourhood South;
Geo - Neighbourhood South;Other Regions & Classifications;European Neighbourhood South;
6.OCTs (Overseas Countries and Territories);Other Regions & Classifications;OCTs (Overseas Countries & Territories);
OCTs (Overseas Countries and Territories);Other Regions & Classifications;OCTs (Overseas Countries & Territories);
5.Overseas Countries and Territories;Other Regions & Classifications;OCTs (Overseas Countries & Territories);
Overseas Countries and Territories (OCT);Other Regions & Classifications;OCTs (Overseas Countries & Territories);
Overseas territories;Other Regions & Classifications;OCTs (Overseas Countries & Territories);
small island developing states;Other Regions & Classifications;Small islands developing states;
Small Island Developing States;Other Regions & Classifications;Small islands developing states;
"small island developing states; SIDs";Other Regions & Classifications;Small islands developing states;
small islands states;Other Regions & Classifications;Small islands developing states;
SIDS;Other Regions & Classifications;Small islands developing states;
Zone - All developing countries;Other Regions & Classifications;All developing countries;
All developing countries;Other Regions & Classifications;All developing countries;
