ID,Parent,Weight,Title,Description,Mapping
0415bc57a542999912952fb80ecd4367,f19798826a178554baa231493552a89b,1,Child labour,Child labour,
c5644ba888fcabf703954e7e0953b107,f19798826a178554baa231493552a89b,2,Youth engagement,Youth engagement,
49e4c8855e3af0b4cc55a04fb25bc5c1,f19798826a178554baa231493552a89b,3,Youth employment,Youth employment,
b121d2bbffb6816528cbeebaae3ba537,f19798826a178554baa231493552a89b,4,Children rights,Children rights,
16a7faeec5d9502563d20466d25502df,85fdc8575563c4dd3d4e7a0875adc845,0,Agricultural policy,Agricultural policy,
87353d744217c804afd492f4a4f5227d,85fdc8575563c4dd3d4e7a0875adc845,1,Agricultural statistics,Agricultural statistics,
0601bcb4570b32b6a68bcb7000549c33,85fdc8575563c4dd3d4e7a0875adc845,2,Agrarian reform,Agrarian reform,
8714e489ea5a04f69b9c31fa5392cfdb,85fdc8575563c4dd3d4e7a0875adc845,3,Agro-value chains,Agro-value chains,
ca0b68bec8b0b45b2ddf696d78119f11,85fdc8575563c4dd3d4e7a0875adc845,4,Family farming,Family farming,
be6e2150bb2282a92bfd6226026a8efa,85fdc8575563c4dd3d4e7a0875adc845,5,Subsistance farming,Subsistance farming,
6de8f6db8e660f5b06dc1d0a365e8676,85fdc8575563c4dd3d4e7a0875adc845,6,Sustainable Land management,Sustainable Land management,
b8efb23b0da8b850f6fac701d98570e6,85fdc8575563c4dd3d4e7a0875adc845,7,Land governance,Land governance,
e4a6ea36dbeeb86bf18e50618dba2717,85fdc8575563c4dd3d4e7a0875adc845,8,Land grabbing,Land grabbing,
4b8a1303ae89abe60094251411a9a379,85fdc8575563c4dd3d4e7a0875adc845,9,Irrigation & agro hydro infrastructures,Irrigation & agro hydro infrastructures,
d7f9ccf3ebe080187a28a469dae21c3f,85fdc8575563c4dd3d4e7a0875adc845,10,Agricultural inputs,Agricultural inputs,
aa687eb864c397dfa061ead46fcc42d4,85fdc8575563c4dd3d4e7a0875adc845,11,Food crop production & Subsistance farming,Food crop production & Subsistance farming,
0f9f4a65098509622be89da9d4e1e91c,85fdc8575563c4dd3d4e7a0875adc845,12,Commodities,Commodities,
e0ba1152402a3459aae145a9ed490dc9,85fdc8575563c4dd3d4e7a0875adc845,13,Livestock,Livestock,
fdb37981435e57def8915ffc078ed751,85fdc8575563c4dd3d4e7a0875adc845,14,Pastoralism,Pastoralism,
7917b65523a9b7d1a36ffba319b993b2,85fdc8575563c4dd3d4e7a0875adc845,15,Agricultural extension,Agricultural extension,
ae629892c19fd7543eb8741784d44ba4,85fdc8575563c4dd3d4e7a0875adc845,16,Agricultural education/training,Agricultural education/training,
3464eb2afad84cc2a0c6d802e23a54a7,85fdc8575563c4dd3d4e7a0875adc845,17,Agricultural research,Agricultural research,
a843b0ebde24f4ed934c7a938424066e,85fdc8575563c4dd3d4e7a0875adc845,18,Agricultural services,Agricultural services,
9ac3135bcbbbc0605deede5f6ec5f36a,85fdc8575563c4dd3d4e7a0875adc845,19,Farmers organisations,Farmers organisations,
6a865f93eb3e82b2ef0b81ca37e2940f,85fdc8575563c4dd3d4e7a0875adc845,20,Veterinary services,Veterinary services,
34887e2046bcbd0da146289f2431802d,85fdc8575563c4dd3d4e7a0875adc845,21,Rural development,Rural development,
8f6af75fdda1ff71184cc446d48b85e0,85fdc8575563c4dd3d4e7a0875adc845,22,Agro-business,Agro-business,
7d7a12af1a811551a5bc04aa1c2d7ff6,fb34369d75850f95670125cb259dbd38,0,Fishing policy,Fishing policy,
0f0486f4b3417aed88952ae36e9ede28,fb34369d75850f95670125cb259dbd38,1,Fishery development,Fishery development,
b11b27e80d870e2d1662a3063928c665,fb34369d75850f95670125cb259dbd38,2,Fishery education/training,Fishery education/training,
2482571ae312ac396c7f26530c417ff7,fb34369d75850f95670125cb259dbd38,3,Fishery research,Fishery research,
071578aeaf3f45da212f3f20dcbc1024,fb34369d75850f95670125cb259dbd38,4,Fishery services,Fishery services,
073956c05da47cb0a1072a7387feb763,fa680c59acd57572a1262569b9494f9a,0,Nutrition policy,Nutrition policy,
724570c80bd1601a3a41c83853415fa9,fa680c59acd57572a1262569b9494f9a,1,Micro nutrients suplementation,Micro nutrients suplementation,
041829289586c1564e802367846e1417,fa680c59acd57572a1262569b9494f9a,2,Nutrition monitoring,Nutrition monitoring,
748c171076b94c46b5a74288667688c2,fa680c59acd57572a1262569b9494f9a,3,Nutrition programmes,Nutrition programmes,
d64848092b811f7b1b5291221829cd1a,fa680c59acd57572a1262569b9494f9a,4,Nutrition sensitive intervention,Nutrition sensitive intervention,
476a18698a3b45941fd3024a3a2dd902,fa680c59acd57572a1262569b9494f9a,5,Acute undernutrition,Acute undernutrition,
9f8251416f7e77176a63f96f1f10d7ac,fa680c59acd57572a1262569b9494f9a,6,Obesity,Obesity,
e0cb7f00709d1cc8edc56e3cee55bc12,fa680c59acd57572a1262569b9494f9a,7,Food aid,Food aid,
529c24540c978519c8ce9456d752b388,fa680c59acd57572a1262569b9494f9a,8,Food Social transfers,Food Social transfers,
6410fe9c5db956c6e485b5e17179387c,fa680c59acd57572a1262569b9494f9a,9,Food security governance,Food security governance,
b7022f8e857512b5f07c6b40fd987b18,fa680c59acd57572a1262569b9494f9a,10,Food information systems,Food information systems,
0cbf14894b80bc366598a454378f7b68,fa680c59acd57572a1262569b9494f9a,11,Food availability,Food availability,
5f6fa635d1059f8fc24b8a2269bee5de,fa680c59acd57572a1262569b9494f9a,12,Food quality,Food quality,
a967608bb315eab6b9da4f06c676faba,fa680c59acd57572a1262569b9494f9a,13,Food safety,Food safety,
3cc67e735bae4770b703782735f46fe0,fa680c59acd57572a1262569b9494f9a,14,Food accessibility & prices,Food accessibility & prices,
50fc233c5fb627796875b9ee8de4e0e7,fa680c59acd57572a1262569b9494f9a,15,Food utilisation,Food utilisation,
4c99156c3bf6a85e9095879843cfbb1e,fa680c59acd57572a1262569b9494f9a,16,Food waste,Food waste,
a6e1c3ccbf5097aef6327242ee4e2e8b,fa680c59acd57572a1262569b9494f9a,17,Livestock and food security,Livestock and food security,
627ac1f3894811b19a2458672deb2331,fa680c59acd57572a1262569b9494f9a,18,Fisheries and food security,Fisheries and food security,
4a145b5d0e2a1d657f61e7c64b0ff234,2bc694889ab1798e9a7f88740d8f81b7,0,Democratic participation,Democratic participation,
f9c6d07cd0c3bd94d92656f255601ff8,2bc694889ab1798e9a7f88740d8f81b7,1,Civic education,Civic education,
19a5007acae15177bb9288e3b2476d51,2bc694889ab1798e9a7f88740d8f81b7,2,Electoral assistance,Electoral assistance,
97cd6efc527aa677823af4c6f9b9c88f,2bc694889ab1798e9a7f88740d8f81b7,3,Parliamentary support,Parliamentary support,
c680c6186224c04b4b55548643b384a7,2bc694889ab1798e9a7f88740d8f81b7,4,Multipartism,Multipartism,
f860c1ac2d4266e5e2345dc1de964dcb,2bc694889ab1798e9a7f88740d8f81b7,5,Democratic transition,Democratic transition,
e6d1cb58c4dceb06865f622bbbffc7c5,2bc694889ab1798e9a7f88740d8f81b7,6,Media and free flow of information,Media and free flow of information,
32b8c3bb7f63ae67fbb243f3cdcee883,8cec7d6c891fc360bfd61e14b8512896,0,Judicial development and reform,Judicial development and reform,
40184d7d14317092a77c9720f843dabd,8cec7d6c891fc360bfd61e14b8512896,1,Judicial independence,Judicial independence,
a918690c743df022986b06a1796b116d,8cec7d6c891fc360bfd61e14b8512896,2,Legal drafting,Legal drafting,
d3b67e291986342d7860b934dab97c21,8cec7d6c891fc360bfd61e14b8512896,3,Law enforcement,Law enforcement,
dcac0711b6ce49a6462b866b8cf5546b,8cec7d6c891fc360bfd61e14b8512896,4,Legal education,Legal education,
5dac73aa49b9ccaca4b9b0d0ef615d10,8cec7d6c891fc360bfd61e14b8512896,5,Police,Police,
211f1c5065ffe70618cf53a259941ca1,8cec7d6c891fc360bfd61e14b8512896,6,Prisons,Prisons,
b4a16187b1e369703b5ae0a509b53c57,8cec7d6c891fc360bfd61e14b8512896,7,Law buildings,Law buildings,
2557ec186a2677ea353160eb32b7f505,76b3e11e66f1cd2d0824a05f42e9104c,0,Human rights,Human Rights,
d32e42eb430324a30557c7c1d3cc338a,76b3e11e66f1cd2d0824a05f42e9104c,1,Human rights based approaches,Human rights based approaches,
b200bb1fb55113980eb6077a75f52a762,76b3e11e66f1cd2d0824a05f42e9104c,2,Human rights defenders,Human rights defenders,
4c2ea885161383c19035a7f870c29b17,76b3e11e66f1cd2d0824a05f42e9104c,3,Human rights dialogue,Human rights dialogue,
7bb0a09bd24ac98398902bfa48b51592,9111192aba512b83a3c85529c7f16fea,0,State building contracts,State building contracts,
bcbca4a4d481fdc7539b702806ad50a3,9111192aba512b83a3c85529c7f16fea,1,Security System management & reform,Security System management & reform,
2d72386a150b9548a845b6be7fc082fe,9111192aba512b83a3c85529c7f16fea,2,Peace building & conflict prevention,Peace building & conflict prevention,
4df1ed47f37791b9f736c880ceebb472,9111192aba512b83a3c85529c7f16fea,3,Peace keeping,Peace keeping,
36d6636f81bebd7cee39e7ab22014c2f,9111192aba512b83a3c85529c7f16fea,4,Reintegration and SALW control,Reintegration and SALW control,
dab7b650cf62703ee2b1145f764071e4,9111192aba512b83a3c85529c7f16fea,5,Removal of land mines and explosive remnants of war,Removal of land mines and explosive remnants of war,
77e3d9da4ecb62f934e1f35990c0c0362,9111192aba512b83a3c85529c7f16fea,6,Child soldiers,Child soldiers,
30dcc597fd554ea0c653db0783ae8dcc,019ec3132cdf8ee0f2e2a75cf5d3e459,0,Women's empowerment,Women's empowerment,
feae3ebdd0f627d4c69c07561e1a15fc,019ec3132cdf8ee0f2e2a75cf5d3e459,1,Women's organisations,Women's organisations,
57d0bc216ad27fb0e9659920427ec2d8,019ec3132cdf8ee0f2e2a75cf5d3e459,2,Gender policy,Gender policy,
44978a718c6baff5cce6a32d17ec177b,019ec3132cdf8ee0f2e2a75cf5d3e459,3,Gender budgeting,Gender budgeting,
4bc65aa128c035c177332c080b5f24a5,019ec3132cdf8ee0f2e2a75cf5d3e459,4,Gender equality - women's rights,Gender equality - women's rights,
fc8a8138e5a8183daf3d77134e11cc4b,019ec3132cdf8ee0f2e2a75cf5d3e459,5,Gender mainstreaming,Gender mainstreaming,
3a5505917bcb3bc1b8d27d7d349d7e1f,019ec3132cdf8ee0f2e2a75cf5d3e459,6,Gender-based violence,Gender-based violence,
978e9cd2e307e79a372c243abaf0586a,cd16c10b97e3e24fe1ed43ad191818e0,0,Public sector reform & decentralisation,Public sector reform & decentralisation,
a10e2b5b369e91f41376999c9a417652,cd16c10b97e3e24fe1ed43ad191818e0,1,Local governance,Local governance,
a97a9661661067bc283aee77b040e4dd,cd16c10b97e3e24fe1ed43ad191818e0,2,Fiscal decentralisation,Fiscal decentralisation,
d92c729ec1bd84a7b0152a481c00bb19,cd16c10b97e3e24fe1ed43ad191818e0,3,Decentralisation conflict and fragile states,Decentralisation conflict and fragile states,
d0188734d119459e28e4732fc8dcc502,cd16c10b97e3e24fe1ed43ad191818e0,4,Local authorities and capacity building,Local authorities and capacity building,
32d9eb48c3b61b7dbc959180a8960796,cd16c10b97e3e24fe1ed43ad191818e0,5,Political economy of decentralisation and local governance,Political economy of decentralisation and local governance,
5c88a45598738967fd1d4548e950b66a,66b82b82f26c4c21d2bded88bf417a82,0,Anti-Corruption reform,Anti-Corruption reform,
53de61975e67d5f235357839ad391ae6,66b82b82f26c4c21d2bded88bf417a82,1,Anti-Corruption legislation,Anti-Corruption legislation,
1873c108251e30c0f721ba7b39584d83,66b82b82f26c4c21d2bded88bf417a82,2,Anti-Corruption tools and methods,Anti-Corruption tools and methods,
e67933abdbf09c8cc1bacdf2b2ffa48f,66b82b82f26c4c21d2bded88bf417a82,3,Corruption indexes,Corruption indexes,
8dbddf43b387db9c5c40d85d78c9f23c,66b82b82f26c4c21d2bded88bf417a82,4,Good governance,Good governance,
6f7956741d5d673ff0c8eacc8d8c961c,66b82b82f26c4c21d2bded88bf417a82,5,Transparency,Transparency,
9c8d33d9fc1ee6cf254c878b1698c725,66b82b82f26c4c21d2bded88bf417a82,6,Governance analysis,Governance analysis,
c33e404a441c6ba9648f88af3c68a1ca,66b82b82f26c4c21d2bded88bf417a82,7,Statistics,Statistics,
41acd7f82ba7824adc7e12f52eadec10,e60d75ee57544f933e2d02a2361dbaf9,0,Public finance management,Public finance management,
54b5a9ea117c48db2c6f9cfc8657f72f,e60d75ee57544f933e2d02a2361dbaf9,1,Public Expenditure and Financial Accountability (PEFA),Public Expenditure and Financial Accountability (PEFA),
60bf856c44e725a47bf93bcb42dd24f6,e60d75ee57544f933e2d02a2361dbaf9,2,Fiscal policy,Fiscal policy,
52f8c3b844e4198ecf83ebe423de3131,e60d75ee57544f933e2d02a2361dbaf9,3,Finance sector,Finance sector,
4365b257d87d8653e517728ed6482e3c,e60d75ee57544f933e2d02a2361dbaf9,4,Monetary institutions,Monetary institutions,
49c9db86668daa012aada5a12cc85aea,e60d75ee57544f933e2d02a2361dbaf9,5,Domestic accountability & transparency,Domestic accountability & transparency,
dbbb0fa322c9f8d691a3c2772e35eabf,e60d75ee57544f933e2d02a2361dbaf9,6,Economic growth,Economic growth,
3c1d16397609306458bc46440dbbe47f,e60d75ee57544f933e2d02a2361dbaf9,7,Macroeconomy,Macroeconomy,
ad225614f10f4884b00e525c584d3101,605669cab962bf944d99ce89cf9e58d9,0,Health policies & policy dialogue,Health policies & policy dialogue,
b256aed366e904b1133c55421b553d86,605669cab962bf944d99ce89cf9e58d9,1,Health Systems Strengthening,Health Systems Strengthening,
a7d0dc3dcd353fe3ed7a9143e4c6b319,605669cab962bf944d99ce89cf9e58d9,2,Health information systems,Health information systems,
15087ef083c6f4cd730148ab536059cf,605669cab962bf944d99ce89cf9e58d9,3,Health financing,Health financing,
6aec2142a3a0bf3e2909f647ac33ee61,605669cab962bf944d99ce89cf9e58d9,4,Health in fragile contexts,Health in fragile contexts,
c84e0dca996fbb420249544bdae7efbf,605669cab962bf944d99ce89cf9e58d9,5,Health global programme,Health global programme,
6fbf6751f73792573abb3c9edd0f0305,605669cab962bf944d99ce89cf9e58d9,6,Universal health coverage - equity,Universal health coverage - equity,
8ce80f6621158548ed24d6291671daaa,605669cab962bf944d99ce89cf9e58d9,7,Health management - review - assements,Health management - review - assements,
fe358687befc9a53b078b819145b6e3e,605669cab962bf944d99ce89cf9e58d9,8,Medical research,Medical research,
64a6deb5b18262185cb80050d662448b,605669cab962bf944d99ce89cf9e58d9,9,Basic health care,Basic health care,
7a0c63e8fefe8f48bec13e154372c677,605669cab962bf944d99ce89cf9e58d9,10,Health infrastructure/rehabilitation,Health infrastructure/rehabilitation,
591224d04f902bfcf5147ef4d60ef452,605669cab962bf944d99ce89cf9e58d9,11,Secondary Health Care/ Referral Hospitals,Secondary Health Care/ Referral Hospitals,
7bab96833d5d0653e1325fa8e2770e94,605669cab962bf944d99ce89cf9e58d9,12,Mental health,Mental health,
ed66589e4414a6fb7bbb557308e271b2,605669cab962bf944d99ce89cf9e58d9,13,Nutrition and health,Nutrition and health,
82b966db4a622fcc4b5fbb301a488db8,605669cab962bf944d99ce89cf9e58d9,14,Infectious disease control,Infectious disease control,
9c2fb6e10c89326070c92520cec1fbe6,605669cab962bf944d99ce89cf9e58d9,15,Health education & hygiene,Health education & hygiene,
35cad39ea445a94d2043b3f74993c6ad,605669cab962bf944d99ce89cf9e58d9,16,Malaria control,Malaria control,
6d23e403fc3aa87f8bb61348e4ca0c2c,605669cab962bf944d99ce89cf9e58d9,17,Tuberculosis control,Tuberculosis control,
56a4e0cb16b1c8067be30a23560aa1f6,605669cab962bf944d99ce89cf9e58d9,18,Human Resources for health services,Human Resources for health services,
265d201558c8be262b81b051edcb723a,605669cab962bf944d99ce89cf9e58d9,19,STD control including HIV/AIDS,STD control including HIV/AIDS,
b28d20c55bdfdc82c454d4bb86a5804d,605669cab962bf944d99ce89cf9e58d9,20,Reproductive health care,Reproductive health care,
8bf9ced62039fdb417b16e52fcd2a1d1,605669cab962bf944d99ce89cf9e58d9,21,Health & Sanitation,Health & Sanitation,
4b50ffda44039ad6171adb6c8fef9c01,605669cab962bf944d99ce89cf9e58d9,22,POPULATION POLICIES/PROGRAMMES,POPULATION POLICIES/PROGRAMMES,
3a9d06ff1c0ecf04eeaab573da814dc5,605669cab962bf944d99ce89cf9e58d9,23,Pharmaceutical production,Pharmaceutical production,
afc687f07f30b203476dd71408ebd9cb,605669cab962bf944d99ce89cf9e58d9,24,Medical supplies,Medical supplies,
6de7ab3f91e072631577e28377826744,6926f2fd88f899a22a561f0e808aa8a9,0,Cultural heritage,Cultural heritage,
456f6124e0aa3d0004b8189fa48f08ac,6926f2fd88f899a22a561f0e808aa8a9,1,Culture & economic development,Culture & economic development,
496d19e2da2df1e3611422b4abe244f5,6926f2fd88f899a22a561f0e808aa8a9,2,Cultural management,Cultural management,
49c228c285b4303649ce0bf618be2a5f,6926f2fd88f899a22a561f0e808aa8a9,3,Cultural policy,Cultural policy,
5a9b8710f2a0292c91faf4a640b7b32f,6926f2fd88f899a22a561f0e808aa8a9,4,Unique cultural landscape,Unique cultural landscape,
a80bebf5dede0e2b3999960037a2477d,b9c22f586b09fdebdf40676a334ef051,0,Communication policy,Communication policy,
3a9c1c8521b12754fc7582be72383e28,b9c22f586b09fdebdf40676a334ef051,1,Big Data,Big Data,
715ecda3bb03efbf6f1326d8a6c32193,b9c22f586b09fdebdf40676a334ef051,2,GIS,GIS,
a46ddfab31a25f628acc29eb03b0573b,b9c22f586b09fdebdf40676a334ef051,3,Mobile technology,Mobile technology,
7009f396eb4203de4703b4c0a873e12f,b9c22f586b09fdebdf40676a334ef051,4,Radio/television/print media,Radio/television/print media,
4aedd7feb44df1595d3db438ed0cb551,b9c22f586b09fdebdf40676a334ef051,5,Hardware and software,Hardware and software,
8c3dec5079247d290cb501d06a262bd0,b9c22f586b09fdebdf40676a334ef051,6,Internet access,Internet access,
d99e4fd61948a771f5cd252466d51952,b9c22f586b09fdebdf40676a334ef051,7,IT training,IT training,
64da30dd7456651fb847034cd4db5cfc,b9c22f586b09fdebdf40676a334ef051,8,Satelite imagery,Satelite imagery,
02a296f22be042b26e2f1c50ff5ffcb0,b9c22f586b09fdebdf40676a334ef051,9,Technology transfer,Technology transfer,
1bfea36c441e91615a953fae64489a54,f5f0c488ed56cf789d19a13ffba8abe3,0,Transport policy and administrative management,Transport policy and administrative management,
9f0d6f6ba7a0ea30f2b8096956a2936c,f5f0c488ed56cf789d19a13ffba8abe3,1,Multimodality,Multimodality,
d4cc1f168ebe36ffb8df6c3f8e7dc305,f5f0c488ed56cf789d19a13ffba8abe3,2,Corridors,Corridors,
33b95a000bb2c3b6f17378b4f51f30ff,f5f0c488ed56cf789d19a13ffba8abe3,3,Transport costs,Transport costs,
3418ad27e91eb5264a40b569a19b9ce4,f5f0c488ed56cf789d19a13ffba8abe3,4,Road transport,Road transport,
394cd994a790874b3c6e7bff12a2dc95,f5f0c488ed56cf789d19a13ffba8abe3,5,Axle Load Overweight,Axle Load Overweight,
0b63c4badcc1bbf138392de1785472e6,f5f0c488ed56cf789d19a13ffba8abe3,6,Rail transport,Rail transport,
f5884c9b8eabd8c311a094bd2f6b3af5,f5f0c488ed56cf789d19a13ffba8abe3,7,Maritime transport,Maritime transport,
c783a77f1c063d019c20b57c5a4f8631,f5f0c488ed56cf789d19a13ffba8abe3,8,Air transport,Air transport,
8c4aa541ee911e8d80451ef8cc304806,f5f0c488ed56cf789d19a13ffba8abe3,9,Storage,Storage,
068c9556675569eae445eea268b23e54,f5f0c488ed56cf789d19a13ffba8abe3,10,Education and training in transport and storage,Education and training in transport and storage,
7583934edbf531e58d80881fc59c60f7,f5f0c488ed56cf789d19a13ffba8abe3,11,Transport equipment industry,Transport equipment industry,
5fd476ecd1ecf305957c2a524d0cf68c,53bd8de66c82d00040956897b85f72f1,0,Sustainable cities,Sustainable cities,
44f408ac04bde6992c0cb72f400a4311,53bd8de66c82d00040956897b85f72f1,1,Urban development,Urban development,
66b2bc0507a5f4e0c4d6d5e81762a04b,53bd8de66c82d00040956897b85f72f1,2,Urban policies & planning,Urban policies & planning,
8cced42040cd174c301b99a13be3c0bd,53bd8de66c82d00040956897b85f72f1,3,Urban mobility,Urban mobility,
6214b425ac6d1ce4c7246d4f40f95bf5,53bd8de66c82d00040956897b85f72f1,4,Housing,Housing,
5c7de587ecd6849e9256dc36554473ea,53bd8de66c82d00040956897b85f72f1,5,Construction policy,Construction policy,
8d8cf747b9f445e810022856e542398d,de7a22a0c94aa64ba2449e520aa20c99,0,Inclusive education,Inclusive education,
5afa570c59e9ae5d0a036ab5c98007a5,de7a22a0c94aa64ba2449e520aa20c99,1,Monitoring Progress and Results in education,Monitoring Progress and Results in education,
d24d3d9d807c3df80cd9c756754ad0b4,de7a22a0c94aa64ba2449e520aa20c99,2,Education Policy Dialogue,Education Policy Dialogue,
1ce995a2817c8e405da76dd1883da55f,de7a22a0c94aa64ba2449e520aa20c99,3,Education policy & policy analysis,Education policy & policy analysis,
543f95e83798586271965a512fee67a8,de7a22a0c94aa64ba2449e520aa20c99,4,Quality of education,Quality of education,
d36af8e6176fe728b25021d093c396f8,de7a22a0c94aa64ba2449e520aa20c99,5,Education - Post-2015 Agenda,Education - Post-2015 Agenda,
ae923361791e289216a0d1ce08500cde,de7a22a0c94aa64ba2449e520aa20c99,6,Education global programme,Education global programme,
cf609731040774797400438a49cfe4fb,de7a22a0c94aa64ba2449e520aa20c99,7,Private Sector engagement in education,Private Sector engagement in education,
167915f25659967670dc2a639a29985a,de7a22a0c94aa64ba2449e520aa20c99,8,ICT in education,ICT in education,
e9e03c7db66dfad0c8b0e79b599c4e92,de7a22a0c94aa64ba2449e520aa20c99,9,Education faccilities,Education faccilities,
81b47104dc62e65fc65192174c2a63da,de7a22a0c94aa64ba2449e520aa20c99,10,Teacher training,Teacher training,
0ff7405aa5d85c089e8ca201917e7abf,de7a22a0c94aa64ba2449e520aa20c99,11,Educational research,Educational research,
fb8be406bf1e1816768fa10e46b5ad8c,de7a22a0c94aa64ba2449e520aa20c99,12,Primary education,Primary education,
a9e07ab0ee55f1a272ca395b700e0b87,de7a22a0c94aa64ba2449e520aa20c99,13,Secondary education,Secondary education,
b4a775c79359f2b0dc0f72b83d1af8ad,de7a22a0c94aa64ba2449e520aa20c99,14,Higher education,Higher education,
3b744b8683b63043d9fe7c1bba79137b,de7a22a0c94aa64ba2449e520aa20c99,15,Erasmus,Erasmus,
